date,Biohacker_Trend,Worried_Well_Trend,Busy_Professional_Trend,Clinical_Monitor_Trend
2024-12-15,10.0,23.6,3.8,10.2
2024-12-22,10.0,0.0,0.0,5.4
2024-12-29,12.4,11.4,0.0,9.8
2025-01-05,11.8,23.4,6.6,12.4
2025-01-12,12.6,15.6,4.4,14.6
2025-01-19,11.0,6.8,6.4,11.6
2025-01-26,11.6,23.8,9.8,11.6
2025-02-02,11.8,25.8,7.8,14.2
2025-02-09,11.4,20.8,8.8,16.4
2025-02-16,12.4,22.4,11.8,14.0
2025-02-23,12.0,20.2,11.2,14.8
2025-03-02,11.6,18.4,12.6,16.0
2025-03-09,11.8,24.4,12.0,16.6
2025-03-16,12.0,22.4,5.6,16.4
2025-03-23,11.6,19.2,8.8,14.0
2025-03-30,11.8,30.2,9.2,11.4
2025-04-06,11.8,26.6,11.4,14.2
2025-04-13,11.6,13.8,8.0,13.4
2025-04-20,12.4,24.2,7.0,15.4
2025-04-27,12.0,15.2,6.0,15.2
2025-05-04,12.0,16.0,12.2,16.0
2025-05-11,11.8,27.4,8.8,13.6
2025-05-18,11.8,15.8,8.0,16.0
2025-05-25,12.0,13.2,11.0,12.0
2025-06-01,12.2,14.0,6.0,20.4
2025-06-08,12.4,21.8,9.4,19.2
2025-06-15,12.8,24.8,10.4,19.4
2025-06-22,12.8,12.6,20.0,19.2
2025-06-29,12.8,22.4,7.0,13.0
2025-07-06,13.4,22.6,9.6,15.8
2025-07-13,15.0,13.2,10.0,23.6
2025-07-20,17.2,24.4,8.2,28.6
2025-07-27,20.0,19.4,13.0,28.4
2025-08-03,14.8,24.6,10.6,17.0
2025-08-10,14.2,24.2,11.2,17.6
2025-08-17,12.2,30.8,8.6,16.4
2025-08-24,12.2,20.6,4.8,14.0
2025-08-31,12.0,18.6,12.4,12.6
2025-09-07,11.4,18.6,11.6,14.0
2025-09-14,12.6,18.8,10.8,14.6
2025-09-21,13.4,24.0,12.2,16.6
2025-09-28,13.6,36.2,14.0,15.2
2025-10-05,12.8,26.8,12.4,14.4
2025-10-12,12.4,36.4,13.4,14.2
2025-10-19,12.8,24.2,9.2,13.8
2025-10-26,13.6,30.2,20.4,17.8
2025-11-02,15.0,34.2,21.6,17.4
2025-11-09,15.8,33.2,19.2,18.6
2025-11-16,15.2,22.2,24.6,18.6
2025-11-23,15.2,24.2,12.4,16.4
2025-11-30,13.2,19.6,12.6,11.8
2025-12-07,11.4,24.4,9.4,10.8
2025-12-14,10.4,17.2,8.0,9.0
